date,aapl
7/6/2012 16:00,86.55
7/13/2012 16:00,86.42
7/20/2012 16:00,86.33
7/27/2012 16:00,83.59
8/3/2012 16:00,87.96
8/10/2012 16:00,88.81
8/17/2012 16:00,92.59
8/24/2012 16:00,94.746
8/31/2012 16:00,95.03
9/7/2012 16:00,97.21
9/14/2012 16:00,98.75
9/21/2012 16:00,100.014
9/28/2012 16:00,95.301
10/5/2012 16:00,93.23
10/12/2012 16:00,89.959
10/19/2012 16:00,87.12
10/26/2012 16:00,86.29
11/2/2012 16:00,82.4
11/9/2012 16:00,78.151
11/16/2012 16:00,75.3826
11/23/2012 13:00,81.6429
11/30/2012 16:00,83.61
12/7/2012 16:00,76.18
12/14/2012 16:00,72.828
12/21/2012 16:00,74.19
12/28/2012 16:00,72.7985
1/4/2013 16:00,75.29
1/11/2013 16:00,74.33
1/18/2013 16:00,71.43
1/25/2013 16:00,62.84
2/1/2013 16:00,64.803
2/8/2013 16:00,67.85
2/15/2013 16:00,65.74
2/22/2013 16:00,64.4
3/1/2013 16:00,61.5
3/8/2013 16:00,61.67
3/15/2013 16:00,63.38
3/22/2013 16:00,65.99
3/28/2013 16:00,63.24
4/5/2013 16:00,60.457
4/12/2013 16:00,61.4
4/19/2013 16:00,55.79
4/26/2013 16:00,59.601
5/3/2013 16:00,64.28
5/10/2013 16:00,64.71
5/17/2013 16:00,61.89
5/24/2013 16:00,63.5929
5/31/2013 16:00,64.248
6/7/2013 16:00,63.116
6/14/2013 16:00,61.436
6/21/2013 16:00,59.0714
6/28/2013 16:00,56.65
7/5/2013 16:00,59.63
7/12/2013 16:00,60.93
7/19/2013 16:00,60.71
7/26/2013 16:00,63
8/2/2013 16:00,66.08
8/9/2013 16:00,64.92
8/16/2013 16:00,71.76
8/23/2013 16:00,71.57
8/30/2013 16:00,69.602
9/6/2013 16:00,71.17
9/13/2013 16:00,66.41
9/20/2013 16:00,66.77
9/27/2013 16:00,68.96
10/4/2013 16:00,69.004
10/11/2013 16:00,70.402
10/18/2013 16:00,72.7
10/25/2013 16:00,75.137
11/1/2013 16:00,74.29
11/8/2013 16:00,74.366
11/15/2013 16:00,74.999
11/22/2013 16:00,74.26
11/29/2013 16:00,79.44
12/6/2013 16:00,80.0029
12/13/2013 16:00,79.2
12/20/2013 16:00,78.4314
12/27/2013 16:00,80.01
1/3/2014 16:00,77.28
1/10/2014 16:00,76.13
1/17/2014 16:00,77.24
1/24/2014 16:00,78.01
1/31/2014 16:00,71.51
2/7/2014 16:00,74.24
2/14/2014 16:00,77.7129
2/21/2014 16:00,75.04
2/28/2014 16:00,75.18
3/7/2014 16:00,75.78
3/14/2014 16:00,74.96
3/21/2014 16:00,76.1243
3/28/2014 16:00,76.69
4/4/2014 16:00,75.97
4/11/2014 16:00,74.23
4/17/2014 16:00,74.99
4/25/2014 16:00,81.71
5/2/2014 16:00,84.65
5/9/2014 16:00,83.6489
5/16/2014 16:00,85.36
5/23/2014 16:00,87.7329
5/30/2014 16:00,90.43
6/6/2014 16:00,92.22
6/13/2014 16:00,91.28
6/20/2014 16:00,90.91
6/27/2014 16:00,91.98
7/3/2014 16:00,94.03
7/11/2014 16:00,95.22
7/18/2014 16:00,94.43
7/25/2014 16:00,97.671
8/1/2014 16:00,96.13
8/8/2014 16:00,94.74
8/15/2014 16:00,97.98
8/22/2014 16:00,101.32
8/29/2014 16:00,102.5
9/5/2014 16:00,98.97
9/12/2014 16:00,101.66
9/19/2014 16:00,100.96
9/26/2014 16:00,100.75
10/3/2014 16:00,99.62
10/10/2014 16:00,100.73
10/17/2014 16:00,97.67
10/24/2014 16:00,105.22
10/31/2014 16:00,108
11/7/2014 16:00,109.01
11/14/2014 16:00,114.18
11/21/2014 16:00,116.47
11/28/2014 16:00,118.93
12/5/2014 16:00,115
12/12/2014 16:00,109.73
12/19/2014 16:00,111.78
12/26/2014 16:00,113.99
1/2/2015 16:00,109.33
1/9/2015 16:00,112.01
1/16/2015 16:00,105.99
1/23/2015 16:00,112.98
1/30/2015 16:00,117.16
2/6/2015 16:00,118.93
2/13/2015 16:00,127.08
2/20/2015 16:00,129.495
2/27/2015 16:00,128.46
3/6/2015 16:00,126.6
3/13/2015 16:00,123.59
3/20/2015 16:00,125.9
3/27/2015 16:00,123.25
4/2/2015 16:00,125.32
4/10/2015 16:00,127.1
4/17/2015 16:00,124.75
4/24/2015 16:00,130.28
5/1/2015 16:00,128.95
5/8/2015 16:00,127.62
5/15/2015 16:00,128.77
5/22/2015 16:00,132.54
5/29/2015 16:00,130.28
6/5/2015 16:00,128.65
6/12/2015 16:00,127.17
6/19/2015 16:00,126.6
6/26/2015 16:00,126.75
7/2/2015 16:00,126.44
7/10/2015 16:00,123.28
7/17/2015 16:00,129.62
7/24/2015 16:00,124.5
7/31/2015 16:00,121.3
8/7/2015 16:00,115.52
8/14/2015 16:00,115.96
8/21/2015 16:00,105.76
8/28/2015 16:00,113.29
9/4/2015 16:00,109.27
9/11/2015 16:00,114.21
9/18/2015 16:00,113.45
9/25/2015 16:00,114.71
10/2/2015 16:00,110.38
10/9/2015 16:00,112.12
10/16/2015 16:00,111.04
10/23/2015 16:00,119.08
10/30/2015 16:00,119.5
11/6/2015 16:00,121.06
11/13/2015 16:00,112.34
11/20/2015 16:00,119.3
11/27/2015 16:00,117.81
12/4/2015 16:00,119.03
12/11/2015 16:00,113.18
12/18/2015 16:00,106.03
12/24/2015 16:00,108.03
12/31/2015 16:00,105.26
1/8/2016 16:00,96.96
1/15/2016 16:00,97.13
1/22/2016 16:00,101.42
1/29/2016 16:00,97.34
2/5/2016 16:00,94.02
2/12/2016 16:00,93.99
2/19/2016 16:00,96.04
2/26/2016 16:00,96.91
3/4/2016 16:00,103.01
3/11/2016 16:00,102.26
3/18/2016 16:00,105.92
3/24/2016 16:00,105.67
4/1/2016 16:00,109.99
4/8/2016 16:00,108.66
4/15/2016 16:00,109.85
4/22/2016 16:00,105.68
4/29/2016 16:00,93.74
5/6/2016 16:00,92.72
5/13/2016 16:00,90.52
5/20/2016 16:00,95.22
5/27/2016 16:00,100.35
6/3/2016 16:00,97.92
6/10/2016 16:00,98.83
6/17/2016 16:00,95.33
6/24/2016 16:00,93.4
7/1/2016 16:00,95.89
7/8/2016 16:00,96.68
7/15/2016 16:00,98.78
7/22/2016 16:00,98.66
7/29/2016 16:00,104.21
8/5/2016 16:00,107.48
8/12/2016 16:00,108.18
8/19/2016 16:00,109.36
8/26/2016 16:00,106.94
9/2/2016 16:00,107.73
9/9/2016 16:00,103.13
9/16/2016 16:00,114.92
9/23/2016 16:00,112.71
9/30/2016 16:00,113.05
10/7/2016 16:00,114.06
10/14/2016 16:00,117.63
10/21/2016 16:00,116.6
10/28/2016 16:00,113.72
11/4/2016 16:00,108.84
11/11/2016 16:00,108.43
11/18/2016 16:00,110.06
11/25/2016 13:00,111.79
12/2/2016 16:00,109.9
12/9/2016 16:00,113.95
12/16/2016 16:00,115.97
12/23/2016 16:00,116.52
12/30/2016 16:00,115.82
1/6/2017 16:00,117.91
1/13/2017 16:00,119.04
1/20/2017 16:00,120
1/27/2017 16:00,121.95
2/3/2017 16:00,129.08
2/10/2017 16:00,132.12
2/17/2017 16:00,135.72
2/24/2017 16:00,136.66
3/3/2017 16:00,139.78
3/10/2017 16:00,139.14
3/17/2017 16:00,139.99
3/24/2017 16:00,140.64
3/31/2017 16:00,143.66
4/7/2017 16:00,143.34
4/13/2017 16:00,141.05
4/21/2017 16:00,142.27
4/28/2017 16:00,143.65
5/5/2017 16:00,148.96
5/12/2017 16:00,156.1
5/19/2017 16:00,153.06
5/26/2017 16:00,153.61
6/2/2017 16:00,155.45
6/9/2017 16:00,148.98
6/16/2017 16:00,142.27
6/23/2017 16:00,146.28
6/30/2017 16:00,144.02
