Date,brk_a
7/6/2012 16:00,123897.57
7/13/2012 16:00,126625
7/20/2012 16:00,125730
7/27/2012 16:00,127735
8/3/2012 16:00,128479
8/10/2012 16:00,127175
8/17/2012 16:00,128880
8/24/2012 16:00,128224.9
8/31/2012 16:00,126559.9
9/7/2012 16:00,129942
9/14/2012 16:00,133000
9/21/2012 16:00,134584
9/28/2012 16:00,132700
10/5/2012 16:00,135555
10/12/2012 16:00,132501.99
10/19/2012 16:00,133841
10/26/2012 16:00,129725
11/2/2012 16:00,130550
11/9/2012 16:00,127585
11/16/2012 16:00,129344.9
11/23/2012 13:00,132606.01
11/30/2012 16:00,131916
12/7/2012 16:00,131090
12/14/2012 16:00,133795
12/21/2012 16:00,134800
12/28/2012 16:00,133000
1/4/2013 16:00,140803.07
1/11/2013 16:00,141525
1/18/2013 16:00,143502
1/25/2013 16:00,147290
2/1/2013 16:00,147086.18
2/8/2013 16:00,146374
2/15/2013 16:00,150141
2/22/2013 16:00,152009
3/1/2013 16:00,152750
3/8/2013 16:00,155411.26
3/15/2013 16:00,153500
3/22/2013 16:00,153741
3/28/2013 16:00,156280
4/5/2013 16:00,156330
4/12/2013 16:00,160525
4/19/2013 16:00,157861
4/26/2013 16:00,160618
5/3/2013 16:00,162904
5/10/2013 16:00,167780
5/17/2013 16:00,169400
5/24/2013 16:00,166020
5/31/2013 16:00,171300
6/7/2013 16:00,172900
6/14/2013 16:00,171259
6/21/2013 16:00,168200
6/28/2013 16:00,168600
7/5/2013 16:00,172201
7/12/2013 16:00,175505
7/19/2013 16:00,178275
7/26/2013 16:00,175926
8/2/2013 16:00,176500
8/9/2013 16:00,175100
8/16/2013 16:00,173122
8/23/2013 16:00,171320.46
8/30/2013 16:00,167050
9/6/2013 16:00,167565
9/13/2013 16:00,170155
9/20/2013 16:00,175000
9/27/2013 16:00,172210
10/4/2013 16:00,170743
10/11/2013 16:00,173605
10/18/2013 16:00,175400
10/25/2013 16:00,175435
11/1/2013 16:00,173122.5
11/8/2013 16:00,173201
11/15/2013 16:00,174300
11/22/2013 16:00,174850
11/29/2013 16:00,174750
12/6/2013 16:00,174940
12/13/2013 16:00,171100
12/20/2013 16:00,175600
12/27/2013 16:00,177160
1/3/2014 16:00,176336
1/10/2014 16:00,172540
1/17/2014 16:00,172350
1/24/2014 16:00,168500
1/31/2014 16:00,169511.9
2/7/2014 16:00,169010
2/14/2014 16:00,172425
2/21/2014 16:00,170120
2/28/2014 16:00,173708
3/7/2014 16:00,183772
3/14/2014 16:00,183860
3/21/2014 16:00,187850
3/28/2014 16:00,185149
4/4/2014 16:00,185753
4/11/2014 16:00,182759.5
4/17/2014 16:00,190639
4/25/2014 16:00,190686
5/2/2014 16:00,192255
5/9/2014 16:00,190883.01
5/16/2014 16:00,190210
5/23/2014 16:00,190205
5/30/2014 16:00,192000
6/6/2014 16:00,192895
6/13/2014 16:00,189520
6/20/2014 16:00,190500
6/27/2014 16:00,190559
7/3/2014 16:00,193600
7/11/2014 16:00,192900
7/18/2014 16:00,192487
7/25/2014 16:00,191224.94
8/1/2014 16:00,189279
8/8/2014 16:00,196253
8/15/2014 16:00,201227
8/22/2014 16:00,203532
8/29/2014 16:00,205880
9/5/2014 16:00,206700
9/12/2014 16:00,205635.0001
9/19/2014 16:00,212000
9/26/2014 16:00,208133
10/3/2014 16:00,208750
10/10/2014 16:00,205150
10/17/2014 16:00,205505
10/24/2014 16:00,209251
10/31/2014 16:00,210000
11/7/2014 16:00,214970
11/14/2014 16:00,218023
11/21/2014 16:00,219935
11/28/2014 16:00,223065
12/5/2014 16:00,225640
12/12/2014 16:00,219000
12/19/2014 16:00,227886
12/26/2014 16:00,226500
1/2/2015 16:00,223600
1/9/2015 16:00,224675
1/16/2015 16:00,223615
1/23/2015 16:00,223751
1/30/2015 16:00,215865
2/6/2015 16:00,224880
2/13/2015 16:00,222555
2/20/2015 16:00,223100
2/27/2015 16:00,221180
3/6/2015 16:00,218810.99
3/13/2015 16:00,217118
3/20/2015 16:00,218300
3/27/2015 16:00,217000.1
4/2/2015 16:00,216500
4/10/2015 16:00,215211
4/17/2015 16:00,212982
4/24/2015 16:00,214490
5/1/2015 16:00,215800
5/8/2015 16:00,222880
5/15/2015 16:00,218640
5/22/2015 16:00,217000
5/29/2015 16:00,214800
6/5/2015 16:00,211560
6/12/2015 16:00,210760
6/19/2015 16:00,212199.9
6/26/2015 16:00,209900
7/2/2015 16:00,205923
7/10/2015 16:00,209800
7/17/2015 16:00,215960
7/24/2015 16:00,212032.32
7/31/2015 16:00,214000
8/7/2015 16:00,215462.76
8/14/2015 16:00,213981
8/21/2015 16:00,202500
8/28/2015 16:00,205344
9/4/2015 16:00,196501
9/11/2015 16:00,198329
9/18/2015 16:00,192200
9/25/2015 16:00,194620
10/2/2015 16:00,195500
10/9/2015 16:00,199650
10/16/2015 16:00,200469
10/23/2015 16:00,206584
10/30/2015 16:00,204596
11/6/2015 16:00,203100
11/13/2015 16:00,197825
11/20/2015 16:00,204600
11/27/2015 16:00,201624
12/4/2015 16:00,204500
12/11/2015 16:00,195756.87
12/18/2015 16:00,194720
12/24/2015 16:00,201137
12/31/2015 16:00,197800
1/8/2016 16:00,193900
1/15/2016 16:00,190000
1/22/2016 16:00,191395.99
1/29/2016 16:00,194360.05
2/5/2016 16:00,190820
2/12/2016 16:00,193999
2/19/2016 16:00,197310.25
2/26/2016 16:00,198190.5
3/4/2016 16:00,207945
3/11/2016 16:00,211600
3/18/2016 16:00,213330
3/24/2016 16:00,210530
4/1/2016 16:00,215740
4/8/2016 16:00,211705
4/15/2016 16:00,215110
4/22/2016 16:00,219038
4/29/2016 16:00,219000
5/6/2016 16:00,216999.99
5/13/2016 16:00,212140
5/20/2016 16:00,212833
5/27/2016 16:00,214303
6/3/2016 16:00,211615
6/10/2016 16:00,212622
6/17/2016 16:00,211200
6/24/2016 16:00,209852
7/1/2016 16:00,216298
7/8/2016 16:00,214720
7/15/2016 16:00,218990
7/22/2016 16:00,216805
7/29/2016 16:00,216000
8/5/2016 16:00,218010
8/12/2016 16:00,221750
8/19/2016 16:00,223040
8/26/2016 16:00,222040
9/2/2016 16:00,226050
9/9/2016 16:00,220109.99
9/16/2016 16:00,218400
9/23/2016 16:00,217750
9/30/2016 16:00,216220
10/7/2016 16:00,216640
10/14/2016 16:00,216370
10/21/2016 16:00,215600
10/28/2016 16:00,216200
11/4/2016 16:00,214545
11/11/2016 16:00,234860
11/18/2016 16:00,236391
11/25/2016 13:00,237085
12/2/2016 16:00,239070
12/9/2016 16:00,247190
12/16/2016 16:00,246405
12/23/2016 16:00,248000
12/30/2016 16:00,244121
1/6/2017 16:00,245394
1/13/2017 16:00,242500.05
1/20/2017 16:00,240280
1/27/2017 16:00,246999.99
2/3/2017 16:00,245646
2/10/2017 16:00,246000
2/17/2017 16:00,252838
2/24/2017 16:00,255040
3/3/2017 16:00,263160
3/10/2017 16:00,262491
3/17/2017 16:00,258952
3/24/2017 16:00,252301
3/31/2017 16:00,249850
4/7/2017 16:00,249465
4/13/2017 16:00,245000
4/21/2017 16:00,245550
4/28/2017 16:00,247780
5/5/2017 16:00,250000
5/12/2017 16:00,245220
5/19/2017 16:00,244910
5/26/2017 16:00,248540
6/2/2017 16:00,249660
6/9/2017 16:00,254965
6/16/2017 16:00,256450.1
6/23/2017 16:00,251800
6/30/2017 16:00,254700
