Date,ntgr
7/6/2012 16:00,36.26
7/13/2012 16:00,33.11
7/20/2012 16:00,33.29
7/27/2012 16:00,34.44
8/3/2012 16:00,35.34
8/10/2012 16:00,37.76
8/17/2012 16:00,39.44
8/24/2012 16:00,37.49
8/31/2012 16:00,36.57
9/7/2012 16:00,38.88
9/14/2012 16:00,39.25
9/21/2012 16:00,38.32
9/28/2012 16:00,38.14
10/5/2012 16:00,37.11
10/12/2012 16:00,37.18
10/19/2012 16:00,37.32
10/26/2012 16:00,35.32
11/2/2012 16:00,34.98
11/9/2012 16:00,34.44
11/16/2012 16:00,33.46
11/23/2012 13:00,34.2
11/30/2012 16:00,34.86
12/7/2012 16:00,35.31
12/14/2012 16:00,36.5
12/21/2012 16:00,39.27
12/28/2012 16:00,38.85
1/4/2013 16:00,39.5392
1/11/2013 16:00,39.06
1/18/2013 16:00,39.73
1/25/2013 16:00,40.11
2/1/2013 16:00,36
2/8/2013 16:00,36.91
2/15/2013 16:00,33.69
2/22/2013 16:00,33.7
3/1/2013 16:00,33.75
3/8/2013 16:00,34.782
3/15/2013 16:00,34.735
3/22/2013 16:00,33.39
3/28/2013 16:00,33.51
4/5/2013 16:00,31.89
4/12/2013 16:00,32.1
4/19/2013 16:00,27.26
4/26/2013 16:00,28.82
5/3/2013 16:00,29.92
5/10/2013 16:00,31.52
5/17/2013 16:00,32.95
5/24/2013 16:00,32.84
5/31/2013 16:00,33.28
6/7/2013 16:00,33.07
6/14/2013 16:00,32.43
6/21/2013 16:00,33.22
6/28/2013 16:00,30.54
7/5/2013 16:00,32.38
7/12/2013 16:00,33.63
7/19/2013 16:00,33.39
7/26/2013 16:00,30
8/2/2013 16:00,30.83
8/9/2013 16:00,29.64
8/16/2013 16:00,29.67
8/23/2013 16:00,29.72
8/30/2013 16:00,28.94
9/6/2013 16:00,28.41
9/13/2013 16:00,29.87
9/20/2013 16:00,30.52
9/27/2013 16:00,30.97
10/4/2013 16:00,31.14
10/11/2013 16:00,31.49
10/18/2013 16:00,32.21
10/25/2013 16:00,29.08
11/1/2013 16:00,28.88
11/8/2013 16:00,29.84
11/15/2013 16:00,31.54
11/22/2013 16:00,31.67
11/29/2013 16:00,32.11
12/6/2013 16:00,32
12/13/2013 16:00,30.78
12/20/2013 16:00,31.9
12/27/2013 16:00,32.8
1/3/2014 16:00,32.52
1/10/2014 16:00,32.97
1/17/2014 16:00,33.48
1/24/2014 16:00,32.58
1/31/2014 16:00,31.91
2/7/2014 16:00,32.47
2/14/2014 16:00,33.62
2/21/2014 16:00,34.22
2/28/2014 16:00,34.18
3/7/2014 16:00,34.69
3/14/2014 16:00,33.15
3/21/2014 16:00,35.04
3/28/2014 16:00,33.4
4/4/2014 16:00,32.99
4/11/2014 16:00,32.99
4/17/2014 16:00,33.61
4/25/2014 16:00,32.27
5/2/2014 16:00,32.14
5/9/2014 16:00,32.29
5/16/2014 16:00,33.04
5/23/2014 16:00,33.5
