Date,plt
7/6/2012 16:00,33.72
7/13/2012 16:00,32.52
7/20/2012 16:00,32.39
7/27/2012 16:00,33.29
8/3/2012 16:00,33.2
8/10/2012 16:00,36.8
8/17/2012 16:00,36.54
8/24/2012 16:00,35.26
8/31/2012 16:00,35.66
9/7/2012 16:00,36.58
9/14/2012 16:00,37.66
9/21/2012 16:00,36.15
9/28/2012 16:00,35.33
10/5/2012 16:00,35.24
10/12/2012 16:00,34.13
10/19/2012 16:00,32.94
10/26/2012 16:00,32.95
11/2/2012 16:00,32.94
11/9/2012 16:00,32.84
11/16/2012 16:00,31.3
11/23/2012 13:00,32.85
11/30/2012 16:00,33.63
12/7/2012 16:00,33.95
12/14/2012 16:00,34.57
12/21/2012 16:00,36.86
12/28/2012 16:00,35.97
1/4/2013 16:00,37.57
1/11/2013 16:00,37.38
1/18/2013 16:00,37.84
1/25/2013 16:00,39.26
2/1/2013 16:00,40
2/8/2013 16:00,40.15
2/15/2013 16:00,41.05
2/22/2013 16:00,40.92
3/1/2013 16:00,40.53
3/8/2013 16:00,42.68
3/15/2013 16:00,43.08
3/22/2013 16:00,43.47
3/28/2013 16:00,44.19
4/5/2013 16:00,43.04
4/12/2013 16:00,44.6
4/19/2013 16:00,42.26
4/26/2013 16:00,43.31
5/3/2013 16:00,44.96
5/10/2013 16:00,46.15
5/17/2013 16:00,46.54
5/24/2013 16:00,45.47
5/31/2013 16:00,46.2
6/7/2013 16:00,46.54
6/14/2013 16:00,45.74
6/21/2013 16:00,44.33
6/28/2013 16:00,43.92
7/5/2013 16:00,46.65
7/12/2013 16:00,48.03
7/19/2013 16:00,47.81
7/26/2013 16:00,46.16
8/2/2013 16:00,47.53
8/9/2013 16:00,44.32
8/16/2013 16:00,44.06
8/23/2013 16:00,44.62
8/30/2013 16:00,43.2
9/6/2013 16:00,43.78
9/13/2013 16:00,45.88
9/20/2013 16:00,47.46
9/27/2013 16:00,46.46
10/4/2013 16:00,46
10/11/2013 16:00,46.68
10/18/2013 16:00,49.04
10/25/2013 16:00,48.87
11/1/2013 16:00,42.96
11/8/2013 16:00,42.77
11/15/2013 16:00,43.8
11/22/2013 16:00,44.19
11/29/2013 16:00,44.73
12/6/2013 16:00,43.94
