Date,smi
7/6/2012 16:00,1.54
7/13/2012 16:00,1.58
7/20/2012 16:00,1.49
7/27/2012 16:00,1.82
8/3/2012 16:00,1.72
8/10/2012 16:00,1.88
8/17/2012 16:00,1.85
8/24/2012 16:00,1.91
8/31/2012 16:00,1.86
9/7/2012 16:00,1.85
9/14/2012 16:00,1.96
9/21/2012 16:00,1.84
9/28/2012 16:00,1.8
10/5/2012 16:00,1.9
10/12/2012 16:00,1.83
10/19/2012 16:00,1.96
10/26/2012 16:00,1.88
11/2/2012 16:00,1.94
11/9/2012 16:00,2.3
11/16/2012 16:00,2.29
11/23/2012 13:00,2.41
11/30/2012 16:00,2.39
12/7/2012 16:00,2.45
12/14/2012 16:00,2.42
12/21/2012 16:00,2.3
12/28/2012 16:00,2.42
1/4/2013 16:00,2.72
1/11/2013 16:00,3.06
1/18/2013 16:00,3.08
1/25/2013 16:00,3.04
2/1/2013 16:00,3.09
2/8/2013 16:00,2.82
2/15/2013 16:00,2.9
2/22/2013 16:00,2.72
3/1/2013 16:00,2.9
3/8/2013 16:00,2.91
3/15/2013 16:00,2.8
3/22/2013 16:00,3.02
3/28/2013 16:00,2.92
4/5/2013 16:00,2.88
4/12/2013 16:00,3.01
4/19/2013 16:00,3.24
4/26/2013 16:00,3.58
5/3/2013 16:00,3.92
5/10/2013 16:00,4.06
5/17/2013 16:00,4.09
5/24/2013 16:00,4.36
5/31/2013 16:00,4.01
6/7/2013 16:00,4.04
6/14/2013 16:00,3.79
6/21/2013 16:00,3.76
6/28/2013 16:00,3.65
7/5/2013 16:00,3.88
7/12/2013 16:00,4.04
7/19/2013 16:00,3.8
7/26/2013 16:00,3.84
8/2/2013 16:00,3.71
8/9/2013 16:00,4.05
8/16/2013 16:00,3.73
8/23/2013 16:00,3.81
8/30/2013 16:00,3.55
9/6/2013 16:00,3.71
9/13/2013 16:00,3.57
9/20/2013 16:00,3.5
9/27/2013 16:00,3.51
10/4/2013 16:00,3.72
10/11/2013 16:00,3.96
10/18/2013 16:00,4.11
10/25/2013 16:00,3.71
11/1/2013 16:00,3.58
11/8/2013 16:00,3.58
11/15/2013 16:00,3.66
11/22/2013 16:00,3.73
11/29/2013 16:00,4.05
12/6/2013 16:00,3.96
12/13/2013 16:00,3.76
12/20/2013 16:00,3.72
12/27/2013 16:00,3.76
1/3/2014 16:00,3.97
1/10/2014 16:00,3.98
1/17/2014 16:00,4.56
1/24/2014 16:00,4.59
1/31/2014 16:00,4.92
2/7/2014 16:00,5.1
2/14/2014 16:00,5.31
2/21/2014 16:00,3.98
2/28/2014 16:00,4.25
3/7/2014 16:00,4.15
3/14/2014 16:00,3.89
3/21/2014 16:00,3.95
3/28/2014 16:00,3.8
4/4/2014 16:00,3.94
4/11/2014 16:00,3.82
4/17/2014 16:00,3.97
4/25/2014 16:00,4.15
5/2/2014 16:00,4.14
5/9/2014 16:00,3.97
5/16/2014 16:00,4.1
5/23/2014 16:00,4.21
5/30/2014 16:00,4.2
6/6/2014 16:00,4.06
6/13/2014 16:00,4.07
6/20/2014 16:00,3.88
6/27/2014 16:00,4.26
7/3/2014 16:00,4.49
7/11/2014 16:00,4.72
7/18/2014 16:00,4.82
7/25/2014 16:00,4.63
8/1/2014 16:00,4.48
8/8/2014 16:00,4.4
8/15/2014 16:00,4.5
8/22/2014 16:00,4.63
8/29/2014 16:00,4.6
9/5/2014 16:00,4.68
9/12/2014 16:00,4.84
9/19/2014 16:00,5.1
9/26/2014 16:00,5.22
10/3/2014 16:00,5.1
10/10/2014 16:00,4.82
10/17/2014 16:00,5.03
10/24/2014 16:00,5.1
10/31/2014 16:00,5.14
11/7/2014 16:00,4.9
11/14/2014 16:00,5.46
11/21/2014 16:00,5.41
11/28/2014 16:00,5.13
12/5/2014 16:00,4.95
12/12/2014 16:00,4.81
12/19/2014 16:00,4.5
12/26/2014 16:00,4.73
1/2/2015 16:00,4.61
1/9/2015 16:00,4.53
1/16/2015 16:00,4.5
1/23/2015 16:00,4.5
1/30/2015 16:00,4.23
2/6/2015 16:00,4.35
2/13/2015 16:00,4.68
2/20/2015 16:00,4.43
2/27/2015 16:00,4.37
3/6/2015 16:00,4.43
3/13/2015 16:00,4.3
3/20/2015 16:00,4.1
3/27/2015 16:00,4.535
4/2/2015 16:00,4.96
4/10/2015 16:00,6.03
4/17/2015 16:00,5.2
4/24/2015 16:00,5.4
5/1/2015 16:00,5.47
5/8/2015 16:00,5.37
5/15/2015 16:00,5.25
5/22/2015 16:00,5.38
5/29/2015 16:00,5.66
