Date,xom
7/6/2012 16:00,84.8
7/13/2012 16:00,85.47
7/20/2012 16:00,85.95
7/27/2012 16:00,87.45
8/3/2012 16:00,87.55
8/10/2012 16:00,88.44
8/17/2012 16:00,88.4
8/24/2012 16:00,88.05
8/31/2012 16:00,87.3
9/7/2012 16:00,89.92
9/14/2012 16:00,92.3
9/21/2012 16:00,91.92
9/28/2012 16:00,91.45
10/5/2012 16:00,92.55
10/12/2012 16:00,91.03
10/19/2012 16:00,92.15
10/26/2012 16:00,90.62
11/2/2012 16:00,90.27
11/9/2012 16:00,87.21
11/16/2012 16:00,86.45
11/23/2012 13:00,89.09
11/30/2012 16:00,88.14
12/7/2012 16:00,88.6
12/14/2012 16:00,88.08
12/21/2012 16:00,87.23
12/28/2012 16:00,85.1
1/4/2013 16:00,88.96
1/11/2013 16:00,89.61
1/18/2013 16:00,90.8
1/25/2013 16:00,91.73
2/1/2013 16:00,90.04
2/8/2013 16:00,88.61
2/15/2013 16:00,88.36
2/22/2013 16:00,89.2
3/1/2013 16:00,89.43
3/8/2013 16:00,88.97
3/15/2013 16:00,89.37
3/22/2013 16:00,89.29
3/28/2013 16:00,90.11
4/5/2013 16:00,89.01
4/12/2013 16:00,88.99
4/19/2013 16:00,87.45
4/26/2013 16:00,88
5/3/2013 16:00,90.02
5/10/2013 16:00,90.14
5/17/2013 16:00,91.76
5/24/2013 16:00,91.53
5/31/2013 16:00,90.47
6/7/2013 16:00,91.45
6/14/2013 16:00,90.58
6/21/2013 16:00,89.48
6/28/2013 16:00,90.35
7/5/2013 16:00,91.57
7/12/2013 16:00,93.4
7/19/2013 16:00,95.17
7/26/2013 16:00,94.79
8/2/2013 16:00,91.95
8/9/2013 16:00,90.72
8/16/2013 16:00,87.91
8/23/2013 16:00,87.52
8/30/2013 16:00,87.16
9/6/2013 16:00,87.25
9/13/2013 16:00,88.4
9/20/2013 16:00,88.66
9/27/2013 16:00,86.9
10/4/2013 16:00,86.32
10/11/2013 16:00,86.95
10/18/2013 16:00,87.55
10/25/2013 16:00,87.97
11/1/2013 16:00,89.82
11/8/2013 16:00,92.73
11/15/2013 16:00,95.27
11/22/2013 16:00,95.01
11/29/2013 16:00,93.48
12/6/2013 16:00,95.65
12/13/2013 16:00,95.31
12/20/2013 16:00,98.68
12/27/2013 16:00,101.51
1/3/2014 16:00,99.51
1/10/2014 16:00,100.52
1/17/2014 16:00,99.16
1/24/2014 16:00,94.85
1/31/2014 16:00,92.16
2/7/2014 16:00,90.58
2/14/2014 16:00,94.11
2/21/2014 16:00,95.03
2/28/2014 16:00,96.27
3/7/2014 16:00,94.99
3/14/2014 16:00,93.47
3/21/2014 16:00,94.31
3/28/2014 16:00,97.7
4/4/2014 16:00,97.36
4/11/2014 16:00,96.72
4/17/2014 16:00,100.42
4/25/2014 16:00,100.41
5/2/2014 16:00,102.01
5/9/2014 16:00,101.95
5/16/2014 16:00,100.74
5/23/2014 16:00,101.32
5/30/2014 16:00,100.53
6/6/2014 16:00,101.6
6/13/2014 16:00,102.65
6/20/2014 16:00,103.83
6/27/2014 16:00,101.21
7/3/2014 16:00,102.59
7/11/2014 16:00,101.74
7/18/2014 16:00,102.73
7/25/2014 16:00,103.18
8/1/2014 16:00,98.8
8/8/2014 16:00,99.74
8/15/2014 16:00,99.03
8/22/2014 16:00,98.5
8/29/2014 16:00,99.46
9/5/2014 16:00,99.26
9/12/2014 16:00,95.78
9/19/2014 16:00,97.12
9/26/2014 16:00,95.43
10/3/2014 16:00,93.92
10/10/2014 16:00,91.6
10/17/2014 16:00,91.21
10/24/2014 16:00,94.49
10/31/2014 16:00,96.71
11/7/2014 16:00,96.59
11/14/2014 16:00,95.09
11/21/2014 16:00,96.81
11/28/2014 16:00,90.54
12/5/2014 16:00,93.82
12/12/2014 16:00,86.6
12/19/2014 16:00,93.64
12/26/2014 16:00,93.21
1/2/2015 16:00,92.83
1/9/2015 16:00,92.1
1/16/2015 16:00,91.12
1/23/2015 16:00,90.89
1/30/2015 16:00,87.42
2/6/2015 16:00,91.5
2/13/2015 16:00,93.37
2/20/2015 16:00,89.92
2/27/2015 16:00,88.54
3/6/2015 16:00,85.63
3/13/2015 16:00,83.87
3/20/2015 16:00,84.54
3/27/2015 16:00,83.58
4/2/2015 16:00,84.3
4/10/2015 16:00,85.56
4/17/2015 16:00,86.93
4/24/2015 16:00,86.97
5/1/2015 16:00,88.85
5/8/2015 16:00,88.99
5/15/2015 16:00,87.35
5/22/2015 16:00,86.52
5/29/2015 16:00,85.2
6/5/2015 16:00,84.28
6/12/2015 16:00,84.02
6/19/2015 16:00,85.21
6/26/2015 16:00,83.86
7/2/2015 16:00,83.14
7/10/2015 16:00,82.22
7/17/2015 16:00,82.61
7/24/2015 16:00,79.94
7/31/2015 16:00,79.21
8/7/2015 16:00,76.83
8/14/2015 16:00,78.36
8/21/2015 16:00,72.13
8/28/2015 16:00,75.07
9/4/2015 16:00,72.46
9/11/2015 16:00,72.69
9/18/2015 16:00,72.68
9/25/2015 16:00,73.23
10/2/2015 16:00,75.88
10/9/2015 16:00,79.26
10/16/2015 16:00,82.48
10/23/2015 16:00,82.98
10/30/2015 16:00,82.74
11/6/2015 16:00,84.47
11/13/2015 16:00,78.1
11/20/2015 16:00,79.79
11/27/2015 16:00,81.23
12/4/2015 16:00,78.86
12/11/2015 16:00,74.34
12/18/2015 16:00,77.28
12/24/2015 16:00,79.33
12/31/2015 16:00,77.95
1/8/2016 16:00,74.69
1/15/2016 16:00,77.58
1/22/2016 16:00,76.57
1/29/2016 16:00,77.85
2/5/2016 16:00,80.08
2/12/2016 16:00,81.03
2/19/2016 16:00,82.5
2/26/2016 16:00,81.75
3/4/2016 16:00,82.29
3/11/2016 16:00,82.19
3/18/2016 16:00,84.2
3/24/2016 16:00,83.98
4/1/2016 16:00,82.96
4/8/2016 16:00,83.21
4/15/2016 16:00,84.97
4/22/2016 16:00,87.53
4/29/2016 16:00,88.4
5/6/2016 16:00,88.51
5/13/2016 16:00,88.66
5/20/2016 16:00,89.74
5/27/2016 16:00,90.01
6/3/2016 16:00,88.37
6/10/2016 16:00,89.98
6/17/2016 16:00,90.72
6/24/2016 16:00,89.39
7/1/2016 16:00,93.84
7/8/2016 16:00,93.54
7/15/2016 16:00,95.12
7/22/2016 16:00,94.01
7/29/2016 16:00,88.95
8/5/2016 16:00,87.56
8/12/2016 16:00,87.85
8/19/2016 16:00,87.8
8/26/2016 16:00,87.27
9/2/2016 16:00,87.42
9/9/2016 16:00,86.84
9/16/2016 16:00,84.03
