date,PREM,SMB,HML,RF
20120706,-0.26,1.55,-0.47,0.001
20120713,-0.05,-1.18,0.53,0.001
20120720,0.26,-1.32,-1.63,0.001
20120727,1.45,-1.26,0.85,0.001
20120803,0.17,-1.25,0.99,0.001
20120810,1.37,0.71,0.88,0.001
20120817,1.13,1.2,-0.18,0.001
20120824,-0.55,-1.05,0.22,0.001
20120831,-0.18,0.42,-0.09,0.001
20120907,2.55,0.81,1.31,0.002
20120914,2.09,0.62,1.85,0.002
20120921,-0.48,-0.26,-1.14,0.002
20120928,-1.41,-0.67,-0.38,0.002
20121005,1.46,-1.11,1.47,0.002
20121012,-2.21,-0.11,0.56,0.002
20121019,0.26,-1.23,1.73,0.002
20121026,-1.37,0.81,-0.38,0.002
20121102,0.27,0.1,0.81,0.002
20121109,-2.33,0.07,-0.8,0.002
20121116,-1.46,-1.07,-0.27,0.002
20121123,3.72,0.42,0.15,0.002
20121130,0.83,1.55,-0.36,0.002
20121207,0.13,-0.61,1.32,0.003
20121214,-0.14,0.55,0.82,0.003
20121221,1.4,1.07,1.29,0.003
20121228,-1.88,0.09,0.14,0.003
20130104,4.8,0.85,0.83,0
20130111,0.44,-0.32,-0.77,0
20130118,0.98,0.49,-0.07,0
20130125,1.27,0.09,0.08,0
20130201,0.73,-0.17,1.07,0.001
20130208,0.45,0.01,-0.01,0.001
20130215,0.23,0.64,1.18,0.001
20130222,-0.36,-0.49,-0.6,0.001
20130301,0.2,-0.55,-1.04,0.001
20130308,2.47,0.51,0.72,0.001
20130315,0.67,0.32,0.96,0.001
20130322,-0.21,0.05,-0.77,0.001
20130328,0.85,-0.19,-0.78,0.001
20130405,-1.39,-1.99,0.07,0.001
20130412,2.38,0.03,-0.22,0.001
20130419,-2.24,-1.41,-0.61,0.001
20130426,1.92,0.53,1.49,0.001
20130503,2.05,0.3,-0.13,0
20130510,1.44,0.71,0.57,0
20130517,2.14,-0.09,0.61,0
20130524,-1.07,0.15,0.22,0
20130531,-0.76,1.09,1.04,0
20130607,0.73,-0.43,-0.22,0
20130614,-0.93,0.52,-0.57,0
20130621,-2.08,0.59,0.37,0
20130628,1.11,0.5,0.28,0
20130705,1.84,1.42,0.17,0
20130712,3.02,0.08,-0.53,0
20130719,0.72,0.4,1.86,0
20130726,0.12,-0.16,-0.21,0
20130802,1.44,-0.11,-0.99,0
20130809,-0.98,-0.05,-0.47,0
20130816,-2.04,0.1,0.4,0
20130823,0.61,0.9,-1.19,0
20130830,-1.87,-0.53,-1.31,0
20130906,1.49,0.26,0.32,0
20130913,2.16,0.27,-0.34,0
20130920,1.36,0.57,-0.61,0
20130927,-0.77,1.2,-0.57,0
20131004,0.17,0.35,0.18,0.001
20131011,0.55,-0.27,1.37,0.001
20131018,2.51,0.2,-0.02,0.001
20131025,0.72,-0.17,-0.36,0.001
20131101,-0.12,-1.73,0.17,0.001
20131108,0.47,0.09,0.71,0.001
20131115,1.71,-0.02,-0.94,0.001
20131122,0.36,0.18,0.82,0.001
20131129,0.35,1.64,-0.55,0.001
20131206,-0.07,-0.84,-0.12,0.001
20131213,-1.46,-0.69,0.44,0.001
20131220,2.56,1.05,-0.37,0.001
20131227,1.35,0.22,-0.01,0.001
20140103,-0.42,-0.06,-0.08,0.001
20140110,0.67,0.51,-1.43,0.001
20140117,-0.12,0.64,-0.7,0.001
20140124,-2.6,0.48,-0.09,0.001
20140131,-0.44,-0.82,-0.16,0.001
20140207,0.56,-2.19,0.03,0.001
20140214,2.53,0.56,-0.01,0.001
20140221,0.14,1.56,-0.8,0.001
20140228,1.37,0.45,0.4,0.001
20140307,1.17,0.49,1.6,0.001
20140314,-1.94,0.2,-0.08,0.001
20140321,1.28,-0.55,2.06,0.001
20140328,-1.01,-2.91,1.6,0.001
20140404,0.33,-0.29,1.09,0
20140411,-2.87,-0.78,-0.01,0
20140417,2.68,-0.51,0.17,0
20140425,-0.34,-1.07,0.54,0
20140502,0.99,-0.56,-0.64,0
20140509,-0.47,-1.96,0.69,0
20140516,0,-0.21,-1.2,0
20140523,1.39,0.81,-0.21,0
20140530,1.18,-0.5,0.23,0
20140606,1.6,1.05,0.31,0.001
20140613,-0.52,0.7,-0.58,0.001
20140620,1.51,0.74,-0.28,0.001
20140627,-0.06,0.18,-0.25,0.001
20140703,1.38,0.52,-0.3,0
20140711,-1.35,-3.05,0.58,0
20140718,0.37,-1.43,0.87,0
20140725,-0.01,-0.48,-0.83,0
20140801,-2.63,0.26,-0.27,0
20140808,0.51,0.97,-0.58,0
20140815,1.31,-0.46,-0.36,0
20140822,1.79,0.01,0.4,0
20140829,0.89,0.13,0.01,0
20140905,0.18,-0.49,-0.02,0
20140912,-0.86,0.55,-0.49,0
20140919,0.9,-2.33,0.41,0
20140926,-1.58,-0.76,-0.89,0
20141003,-0.79,-0.39,-0.7,0
20141010,-3.59,-1.4,0.59,0
20141017,-0.51,3.58,-0.87,0
20141024,4.06,-0.74,-0.67,0
20141031,2.87,2.29,-0.13,0
20141107,0.69,-0.74,0.66,0
20141114,0.54,-0.08,-1.25,0
20141121,1.05,-1.39,-0.24,0
20141128,0.26,0.15,-2.02,0
20141205,0.29,0.16,1.36,0
20141212,-3.44,0.89,-0.85,0
20141219,3.47,0.14,0.56,0
20141226,1.03,0.64,0.54,0
20150102,-1.38,0.1,0.56,0
20150109,-0.78,-0.36,-2.31,0
20150116,-1.32,0.43,-0.3,0
20150123,1.64,-0.69,-0.42,0
20150130,-2.5,0.6,-0.55,0
20150206,3.32,0.19,1.55,0
20150213,2.1,-0.45,-1.29,0
20150220,0.8,0.15,-1.41,0
20150227,-0.19,0.65,-0.46,0
20150306,-1.36,0.59,-0.53,0
20150313,-0.61,1.68,0.5,0
20150320,2.59,0.03,-1.02,0
20150327,-2.16,0.4,0.24,0
