,AAPL,,AMZN,,SMI,,NTGR,,PLT,,BRK.A,,XOM,,UHAL,,HRI,,DF
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
7/6/2012 16:00:00,86.55,41096.66667,225.05,41096.66667,1.54,41096.66667,36.26,41096.66667,33.72,41096.66667,123897.57,41096.66667,84.8,41096.66667,93.58,41096.66667,200.1,41096.66667,33.52
7/13/2012 16:00:00,86.42,41103.66667,218.39,41103.66667,1.58,41103.66667,33.11,41103.66667,32.52,41103.66667,126625,41103.66667,85.47,41103.66667,94.66,41103.66667,185.1,41103.66667,29.04
7/20/2012 16:00:00,86.33,41110.66667,228.29,41110.66667,1.49,41110.66667,33.29,41110.66667,32.39,41110.66667,125730,41110.66667,85.95,41110.66667,92.62,41110.66667,179.1,41110.66667,24.26
7/27/2012 16:00:00,83.59,41117.66667,237.32,41117.66667,1.82,41117.66667,34.44,41117.66667,33.29,41117.66667,127735,41117.66667,87.45,41117.66667,93.48,41117.66667,172.05,41117.66667,24.54
8/3/2012 16:00:00,87.96,41124.66667,234.97,41124.66667,1.72,41124.66667,35.34,41124.66667,33.2,41124.66667,128479,41124.66667,87.55,41124.66667,92.75,41124.66667,175.65,41124.66667,24.42
8/10/2012 16:00:00,88.81,41131.66667,232.75,41131.66667,1.88,41131.66667,37.76,41131.66667,36.8,41131.66667,127175,41131.66667,88.44,41131.66667,91.56,41131.66667,181.65,41131.66667,33.26
8/17/2012 16:00:00,92.59,41138.66667,241.17,41138.66667,1.85,41138.66667,39.44,41138.66667,36.54,41138.66667,128880,41138.66667,88.4,41138.66667,99.02,41138.66667,194.55,41138.66667,32.62
8/24/2012 16:00:00,94.746,41145.66667,245.74,41145.66667,1.91,41145.66667,37.49,41145.66667,35.26,41145.66667,128224.9,41145.66667,88.05,41145.66667,97.48,41145.66667,197.25,41145.66667,32.76
8/31/2012 16:00:00,95.03,41152.66667,248.27,41152.66667,1.86,41152.66667,36.57,41152.66667,35.66,41152.66667,126559.9,41152.66667,87.3,41152.66667,93.05,41152.66667,212.7,41152.66667,32.84
9/7/2012 16:00:00,97.21,41159.66667,259.14,41159.66667,1.85,41159.66667,38.88,41159.66667,36.58,41159.66667,129942,41159.66667,89.92,41159.66667,101.85,41159.66667,223.5,41159.66667,32.82
9/14/2012 16:00:00,98.75,41166.66667,261.27,41166.66667,1.96,41166.66667,39.25,41166.66667,37.66,41166.66667,133000,41166.66667,92.3,41166.66667,107.67,41166.66667,225,41166.66667,32.26
